Subject,batch_index,batch_size,majority_class,max_class_ratio,normalized_entropy,imbalance,missing_classes,is_single_class,class_0_count,class_0_ratio,class_1_count,class_1_ratio,class_2_count,class_2_ratio
S13,4,64,2,0.875,0.34295098019812775,0.6570490198018722,1,0,0,0.0,8,0.125,56,0.875
S13,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S13,6,61,1,1.0,-0.0,1.0,2,1,0,0.0,61,1.0,0,0.0
S14,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S14,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S14,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S14,3,64,0,0.6875,0.5653371812436325,0.4346628187563675,1,0,44,0.6875,20,0.3125,0,0.0
S14,4,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S14,5,64,1,0.796875,0.45940155526566384,0.5405984447343362,1,0,0,0.0,51,0.796875,13,0.203125
S14,6,61,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,61,1.0
S15,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S15,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S15,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S15,3,64,0,0.671875,0.5760383688382745,0.42396163116172547,1,0,43,0.671875,0,0.0,21,0.328125
S15,4,64,2,0.84375,0.39449665524511107,0.605503344754889,1,0,0,0.0,10,0.15625,54,0.84375
S15,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S15,6,63,1,1.0,-0.0,1.0,2,1,0,0.0,63,1.0,0,0.0
S16,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S16,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S16,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S16,3,64,0,0.6875,0.5653371812436325,0.4346628187563675,1,0,44,0.6875,20,0.3125,0,0.0
S16,4,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S16,5,64,1,0.78125,0.4781680716064648,0.5218319283935352,1,0,0,0.0,50,0.78125,14,0.21875
S16,6,60,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,60,1.0
S17,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S17,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S17,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S17,3,64,0,0.703125,0.5536013064601844,0.44639869353981565,1,0,45,0.703125,0,0.0,19,0.296875
S17,4,64,2,0.859375,0.3696448922894698,0.6303551077105303,1,0,0,0.0,9,0.140625,55,0.859375
S17,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S17,6,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S17,7,8,1,1.0,-0.0,1.0,2,1,0,0.0,8,1.0,0,0.0
