label_type,subject,batch_index,start_window,end_window_exclusive,num_windows,label0_count,label1_count,label1_ratio,majority_ratio,is_single_class
VALENCE,S19,3,192,201,9,1,8,0.8888888888888888,0.8888888888888888,0
VALENCE,S20,0,0,64,64,48,16,0.25,0.75,0
VALENCE,S20,1,64,128,64,34,30,0.46875,0.53125,0
VALENCE,S20,2,128,192,64,50,14,0.21875,0.78125,0
VALENCE,S20,3,192,256,64,29,35,0.546875,0.546875,0
VALENCE,S20,4,256,283,27,0,27,1.0,1.0,1
VALENCE,S21,0,0,64,64,9,55,0.859375,0.859375,0
VALENCE,S21,1,64,128,64,41,23,0.359375,0.640625,0
VALENCE,S21,2,128,192,64,2,62,0.96875,0.96875,0
VALENCE,S21,3,192,256,64,40,24,0.375,0.625,0
VALENCE,S21,4,256,288,32,0,32,1.0,1.0,1
VALENCE,S22,0,0,64,64,25,39,0.609375,0.609375,0
VALENCE,S22,1,64,128,64,41,23,0.359375,0.640625,0
VALENCE,S22,2,128,192,64,36,28,0.4375,0.5625,0
VALENCE,S22,3,192,250,58,31,27,0.46551724137931033,0.5344827586206896,0
VALENCE,S23,0,0,64,64,19,45,0.703125,0.703125,0
VALENCE,S23,1,64,128,64,38,26,0.40625,0.59375,0
VALENCE,S23,2,128,192,64,46,18,0.28125,0.71875,0
VALENCE,S23,3,192,243,51,21,30,0.5882352941176471,0.5882352941176471,0
VALENCE,S24,0,0,64,64,8,56,0.875,0.875,0
VALENCE,S24,1,64,128,64,49,15,0.234375,0.765625,0
VALENCE,S24,2,128,192,64,20,44,0.6875,0.6875,0
VALENCE,S24,3,192,197,5,0,5,1.0,1.0,1
VALENCE,S25,0,0,64,64,22,42,0.65625,0.65625,0
VALENCE,S25,1,64,128,64,36,28,0.4375,0.5625,0
VALENCE,S25,2,128,192,64,40,24,0.375,0.625,0
VALENCE,S25,3,192,245,53,26,27,0.5094339622641509,0.5094339622641509,0
VALENCE,S26,0,0,64,64,53,11,0.171875,0.828125,0
VALENCE,S26,1,64,128,64,43,21,0.328125,0.671875,0
VALENCE,S26,2,128,192,64,42,22,0.34375,0.65625,0
VALENCE,S26,3,192,256,64,26,38,0.59375,0.59375,0
VALENCE,S26,4,256,303,47,17,30,0.6382978723404256,0.6382978723404256,0
VALENCE,S27,0,0,64,64,63,1,0.015625,0.984375,0
VALENCE,S27,1,64,128,64,15,49,0.765625,0.765625,0
VALENCE,S27,2,128,192,64,33,31,0.484375,0.515625,0
VALENCE,S27,3,192,256,64,6,58,0.90625,0.90625,0
VALENCE,S27,4,256,320,64,27,37,0.578125,0.578125,0
VALENCE,S27,5,320,321,1,0,1,1.0,1.0,1
VALENCE,S28,0,0,64,64,45,19,0.296875,0.703125,0
VALENCE,S28,1,64,128,64,51,13,0.203125,0.796875,0
VALENCE,S28,2,128,192,64,31,33,0.515625,0.515625,0
VALENCE,S28,3,192,211,19,8,11,0.5789473684210527,0.5789473684210527,0
VALENCE,S29,0,0,64,64,48,16,0.25,0.75,0
VALENCE,S29,1,64,128,64,29,35,0.546875,0.546875,0
VALENCE,S29,2,128,192,64,46,18,0.28125,0.71875,0
VALENCE,S30,0,0,64,64,61,3,0.046875,0.953125,0
VALENCE,S30,1,64,128,64,31,33,0.515625,0.515625,0
VALENCE,S30,2,128,192,64,60,4,0.0625,0.9375,0
VALENCE,S30,3,192,256,64,64,0,0.0,1.0,1
VALENCE,S30,4,256,320,64,21,43,0.671875,0.671875,0
VALENCE,S30,5,320,343,23,3,20,0.8695652173913043,0.8695652173913043,0
