subject,num_batches,num_windows,label0_windows,label1_windows,single_class_batches,mean_majority_ratio,max_majority_ratio,batch_sizes,batch_label_counts
S17,5,286,150,136,1,0.73125,1.0,"64, 64, 64, 64, 30","B0:0=38,1=26 | B1:0=51,1=13 | B2:0=22,1=42 | B3:0=39,1=25 | B4:0=0,1=30"
S18,4,255,135,120,0,0.6315104166666666,0.6666666666666666,"64, 64, 64, 63","B0:0=42,1=22 | B1:0=25,1=39 | B2:0=26,1=38 | B3:0=42,1=21"
S19,4,201,78,123,0,0.6987847222222222,0.90625,"64, 64, 64, 9","B0:0=32,1=32 | B1:0=32,1=32 | B2:0=6,1=58 | B3:0=8,1=1"
S20,5,283,118,165,1,0.734375,1.0,"64, 64, 64, 64, 27","B0:0=28,1=36 | B1:0=13,1=51 | B2:0=35,1=29 | B3:0=15,1=49 | B4:0=27,1=0"
S21,5,288,132,156,0,0.690625,0.96875,"64, 64, 64, 64, 32","B0:0=2,1=62 | B1:0=29,1=35 | B2:0=38,1=26 | B3:0=40,1=24 | B4:0=23,1=9"
S22,4,250,115,135,0,0.6212284482758621,0.6724137931034483,"64, 64, 64, 58","B0:0=26,1=38 | B1:0=28,1=36 | B2:0=42,1=22 | B3:0=19,1=39"
S23,4,243,159,84,0,0.6861213235294118,0.90625,"64, 64, 64, 51","B0:0=58,1=6 | B1:0=37,1=27 | B2:0=43,1=21 | B3:0=21,1=30"
S24,4,197,102,95,1,0.73046875,1.0,"64, 64, 64, 5","B0:0=24,1=40 | B1:0=27,1=37 | B2:0=46,1=18 | B3:0=5,1=0"
S25,4,245,108,137,0,0.6126916273584906,0.765625,"64, 64, 64, 53","B0:0=28,1=36 | B1:0=32,1=32 | B2:0=15,1=49 | B3:0=33,1=20"
S26,5,303,180,123,1,0.7773271276595745,1.0,"64, 64, 64, 64, 47","B0:0=19,1=45 | B1:0=53,1=11 | B2:0=35,1=29 | B3:0=64,1=0 | B4:0=9,1=38"
S27,6,321,143,178,1,0.6927083333333334,1.0,"64, 64, 64, 64, 64, 1","B0:0=9,1=55 | B1:0=41,1=23 | B2:0=28,1=36 | B3:0=29,1=35 | B4:0=35,1=29 | B5:0=1,1=0"
S28,4,211,128,83,1,0.75,1.0,"64, 64, 64, 19","B0:0=41,1=23 | B1:0=38,1=26 | B2:0=49,1=15 | B3:0=0,1=19"
S29,3,192,81,111,0,0.609375,0.65625,"64, 64, 64","B0:0=22,1=42 | B1:0=35,1=29 | B2:0=24,1=40"
S30,6,343,173,170,1,0.7395833333333334,1.0,"64, 64, 64, 64, 64, 23","B0:0=51,1=13 | B1:0=33,1=31 | B2:0=5,1=59 | B3:0=37,1=27 | B4:0=24,1=40 | B5:0=23,1=0"
