label_type,subject,batch_index,start_window,end_window_exclusive,num_windows,label0_count,label1_count,label1_ratio,majority_ratio,is_single_class
AROUSAL,S9,2,128,192,64,24,40,0.625,0.625,0
AROUSAL,S9,3,192,256,64,36,28,0.4375,0.5625,0
AROUSAL,S9,4,256,258,2,2,0,0.0,1.0,1
AROUSAL,S10,0,0,64,64,35,29,0.453125,0.546875,0
AROUSAL,S10,1,64,128,64,48,16,0.25,0.75,0
AROUSAL,S10,2,128,192,64,23,41,0.640625,0.640625,0
AROUSAL,S10,3,192,256,64,21,43,0.671875,0.671875,0
AROUSAL,S10,4,256,284,28,28,0,0.0,1.0,1
AROUSAL,S11,0,0,64,64,47,17,0.265625,0.734375,0
AROUSAL,S11,1,64,128,64,34,30,0.46875,0.53125,0
AROUSAL,S11,2,128,192,64,42,22,0.34375,0.65625,0
AROUSAL,S11,3,192,256,64,32,32,0.5,0.5,0
AROUSAL,S11,4,256,300,44,21,23,0.5227272727272727,0.5227272727272727,0
AROUSAL,S12,0,0,64,64,31,33,0.515625,0.515625,0
AROUSAL,S12,1,64,128,64,29,35,0.546875,0.546875,0
AROUSAL,S12,2,128,192,64,46,18,0.28125,0.71875,0
AROUSAL,S12,3,192,248,56,20,36,0.6428571428571429,0.6428571428571429,0
AROUSAL,S13,0,0,64,64,22,42,0.65625,0.65625,0
AROUSAL,S13,1,64,128,64,37,27,0.421875,0.578125,0
AROUSAL,S13,2,128,192,64,18,46,0.71875,0.71875,0
AROUSAL,S13,3,192,256,64,55,9,0.140625,0.859375,0
AROUSAL,S13,4,256,277,21,21,0,0.0,1.0,1
AROUSAL,S14,0,0,64,64,28,36,0.5625,0.5625,0
AROUSAL,S14,1,64,128,64,62,2,0.03125,0.96875,0
AROUSAL,S14,2,128,192,64,33,31,0.484375,0.515625,0
AROUSAL,S14,3,192,244,52,43,9,0.17307692307692307,0.8269230769230769,0
AROUSAL,S15,0,0,64,64,31,33,0.515625,0.515625,0
AROUSAL,S15,1,64,128,64,30,34,0.53125,0.53125,0
AROUSAL,S15,2,128,192,64,40,24,0.375,0.625,0
AROUSAL,S15,3,192,256,64,31,33,0.515625,0.515625,0
AROUSAL,S15,4,256,320,64,26,38,0.59375,0.59375,0
AROUSAL,S16,0,0,64,64,17,47,0.734375,0.734375,0
AROUSAL,S16,1,64,128,64,54,10,0.15625,0.84375,0
AROUSAL,S16,2,128,192,64,31,33,0.515625,0.515625,0
AROUSAL,S16,3,192,221,29,2,27,0.9310344827586207,0.9310344827586207,0
AROUSAL,S17,0,0,64,64,38,26,0.40625,0.59375,0
AROUSAL,S17,1,64,128,64,51,13,0.203125,0.796875,0
AROUSAL,S17,2,128,192,64,22,42,0.65625,0.65625,0
AROUSAL,S17,3,192,256,64,39,25,0.390625,0.609375,0
AROUSAL,S17,4,256,286,30,0,30,1.0,1.0,1
AROUSAL,S18,0,0,64,64,42,22,0.34375,0.65625,0
AROUSAL,S18,1,64,128,64,25,39,0.609375,0.609375,0
AROUSAL,S18,2,128,192,64,26,38,0.59375,0.59375,0
AROUSAL,S18,3,192,255,63,42,21,0.3333333333333333,0.6666666666666666,0
AROUSAL,S19,0,0,64,64,32,32,0.5,0.5,0
AROUSAL,S19,1,64,128,64,32,32,0.5,0.5,0
AROUSAL,S19,2,128,192,64,6,58,0.90625,0.90625,0
AROUSAL,S19,3,192,201,9,8,1,0.1111111111111111,0.8888888888888888,0
AROUSAL,S20,0,0,64,64,28,36,0.5625,0.5625,0
AROUSAL,S20,1,64,128,64,13,51,0.796875,0.796875,0
AROUSAL,S20,2,128,192,64,35,29,0.453125,0.546875,0
AROUSAL,S20,3,192,256,64,15,49,0.765625,0.765625,0
AROUSAL,S20,4,256,283,27,27,0,0.0,1.0,1
AROUSAL,S21,0,0,64,64,2,62,0.96875,0.96875,0
AROUSAL,S21,1,64,128,64,29,35,0.546875,0.546875,0
AROUSAL,S21,2,128,192,64,38,26,0.40625,0.59375,0
AROUSAL,S21,3,192,256,64,40,24,0.375,0.625,0
AROUSAL,S21,4,256,288,32,23,9,0.28125,0.71875,0
AROUSAL,S22,0,0,64,64,26,38,0.59375,0.59375,0
AROUSAL,S22,1,64,128,64,28,36,0.5625,0.5625,0
AROUSAL,S22,2,128,192,64,42,22,0.34375,0.65625,0
AROUSAL,S22,3,192,250,58,19,39,0.6724137931034483,0.6724137931034483,0
AROUSAL,S23,0,0,64,64,58,6,0.09375,0.90625,0
AROUSAL,S23,1,64,128,64,37,27,0.421875,0.578125,0
AROUSAL,S23,2,128,192,64,43,21,0.328125,0.671875,0
AROUSAL,S23,3,192,243,51,21,30,0.5882352941176471,0.5882352941176471,0
AROUSAL,S24,0,0,64,64,24,40,0.625,0.625,0
AROUSAL,S24,1,64,128,64,27,37,0.578125,0.578125,0
AROUSAL,S24,2,128,192,64,46,18,0.28125,0.71875,0
AROUSAL,S24,3,192,197,5,5,0,0.0,1.0,1
AROUSAL,S25,0,0,64,64,28,36,0.5625,0.5625,0
AROUSAL,S25,1,64,128,64,32,32,0.5,0.5,0
AROUSAL,S25,2,128,192,64,15,49,0.765625,0.765625,0
AROUSAL,S25,3,192,245,53,33,20,0.37735849056603776,0.6226415094339622,0
AROUSAL,S26,0,0,64,64,19,45,0.703125,0.703125,0
AROUSAL,S26,1,64,128,64,53,11,0.171875,0.828125,0
AROUSAL,S26,2,128,192,64,35,29,0.453125,0.546875,0
AROUSAL,S26,3,192,256,64,64,0,0.0,1.0,1
AROUSAL,S26,4,256,303,47,9,38,0.8085106382978723,0.8085106382978723,0
AROUSAL,S27,0,0,64,64,9,55,0.859375,0.859375,0
AROUSAL,S27,1,64,128,64,41,23,0.359375,0.640625,0
AROUSAL,S27,2,128,192,64,28,36,0.5625,0.5625,0
AROUSAL,S27,3,192,256,64,29,35,0.546875,0.546875,0
AROUSAL,S27,4,256,320,64,35,29,0.453125,0.546875,0
AROUSAL,S27,5,320,321,1,1,0,0.0,1.0,1
AROUSAL,S28,0,0,64,64,41,23,0.359375,0.640625,0
AROUSAL,S28,1,64,128,64,38,26,0.40625,0.59375,0
AROUSAL,S28,2,128,192,64,49,15,0.234375,0.765625,0
AROUSAL,S28,3,192,211,19,0,19,1.0,1.0,1
AROUSAL,S29,0,0,64,64,22,42,0.65625,0.65625,0
AROUSAL,S29,1,64,128,64,35,29,0.453125,0.546875,0
AROUSAL,S29,2,128,192,64,24,40,0.625,0.625,0
AROUSAL,S30,0,0,64,64,51,13,0.203125,0.796875,0
AROUSAL,S30,1,64,128,64,33,31,0.484375,0.515625,0
AROUSAL,S30,2,128,192,64,5,59,0.921875,0.921875,0
AROUSAL,S30,3,192,256,64,37,27,0.421875,0.578125,0
AROUSAL,S30,4,256,320,64,24,40,0.625,0.625,0
AROUSAL,S30,5,320,343,23,23,0,0.0,1.0,1
