Subject,batch_index,batch_size,majority_class,max_class_ratio,normalized_entropy,imbalance,missing_classes,is_single_class,class_0_count,class_0_ratio,class_1_count,class_1_ratio,class_2_count,class_2_ratio
S10,2,120,2,0.5916666666666667,0.6155458124575819,0.3844541875424181,1,0,0,0.0,49,0.4083333333333333,71,0.5916666666666667
S10,3,96,1,1.0,-0.0,1.0,2,1,0,0.0,96,1.0,0,0.0
S11,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S11,1,120,0,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,116,0.9666666666666667,4,0.03333333333333333,0,0.0
S11,2,120,1,1.0,-0.0,1.0,2,1,0,0.0,120,1.0,0,0.0
S11,3,86,2,0.8604651162790697,0.3678442969277996,0.6321557030722005,1,0,0,0.0,12,0.13953488372093023,74,0.8604651162790697
S13,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S13,1,120,0,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,116,0.9666666666666667,0,0.0,4,0.03333333333333333
S13,2,120,2,0.6,0.6126016192893442,0.3873983807106558,1,0,0,0.0,48,0.4,72,0.6
S13,3,85,1,1.0,-0.0,1.0,2,1,0,0.0,85,1.0,0,0.0
S14,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S14,1,120,0,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,116,0.9666666666666667,4,0.03333333333333333,0,0.0
S14,2,120,1,1.0,-0.0,1.0,2,1,0,0.0,120,1.0,0,0.0
S14,3,85,2,0.8705882352941177,0.35068510296842764,0.6493148970315723,1,0,0,0.0,11,0.12941176470588237,74,0.8705882352941177
S15,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S15,1,120,0,0.9583333333333334,0.15765817343911243,0.8423418265608875,1,0,115,0.9583333333333334,0,0.0,5,0.041666666666666664
S15,2,120,2,0.5833333333333334,0.6182283531662821,0.3817716468337179,1,0,0,0.0,50,0.4166666666666667,70,0.5833333333333334
S15,3,87,1,1.0,-0.0,1.0,2,1,0,0.0,87,1.0,0,0.0
S16,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S16,1,120,0,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,116,0.9666666666666667,4,0.03333333333333333,0,0.0
S16,2,120,1,1.0,-0.0,1.0,2,1,0,0.0,120,1.0,0,0.0
S16,3,84,2,0.8809523809523809,0.33225837540750514,0.6677416245924949,1,0,0,0.0,10,0.11904761904761904,74,0.8809523809523809
S17,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S17,1,120,0,0.975,0.10641319994632661,0.8935868000536734,1,0,117,0.975,0,0.0,3,0.025
S17,2,120,2,0.5916666666666667,0.6155458124575819,0.3844541875424181,1,0,0,0.0,49,0.4083333333333333,71,0.5916666666666667
S17,3,96,1,1.0,-0.0,1.0,2,1,0,0.0,96,1.0,0,0.0
